user_id,item_id,action,vtime,title,category
310,371,2,1773731184,Tablet Product 371,Tablet
666,213,2,1773731426,Charger Product 213,Charger
949,224,2,1773731638,Tablet Product 224,Tablet
623,105,2,1773732147,Accessories Product 105,Accessories
862,140,2,1773732839,Accessories Product 140,Accessories
405,234,2,1773733048,Laptop Product 234,Laptop
796,465,2,1773734063,Phone Product 465,Phone
773,7,2,1773734471,Case Product 7,Case
87,173,2,1773734657,Accessories Product 173,Accessories
764,146,2,1773735790,Accessories Product 146,Accessories
708,192,2,1773738466,Accessories Product 192,Accessories
316,27,2,1773738842,Case Product 27,Case
557,8,2,1773740149,Laptop Product 8,Laptop
106,160,2,1773740183,Tablet Product 160,Tablet
899,181,2,1773740771,Tablet Product 181,Tablet
700,139,2,1773741391,Phone Product 139,Phone
961,150,2,1773741872,Phone Product 150,Phone
649,158,2,1773742803,Accessories Product 158,Accessories
281,84,2,1773743360,Laptop Product 84,Laptop
867,366,2,1773743529,Headphones Product 366,Headphones
530,152,2,1773744042,Tablet Product 152,Tablet
676,263,2,1773745157,Phone Product 263,Phone
300,240,2,1773745288,Tablet Product 240,Tablet
667,319,2,1773745303,Charger Product 319,Charger
746,30,2,1773746246,Charger Product 30,Charger
129,15,2,1773746725,Laptop Product 15,Laptop
131,234,2,1773747822,Laptop Product 234,Laptop
511,231,2,1773748166,Case Product 231,Case
9,472,2,1773748243,Headphones Product 472,Headphones
940,286,2,1773751137,Accessories Product 286,Accessories
146,140,2,1773752216,Accessories Product 140,Accessories
666,291,2,1773752988,Tablet Product 291,Tablet
312,146,2,1773753041,Accessories Product 146,Accessories
492,105,2,1773753964,Accessories Product 105,Accessories
397,277,2,1773753981,Tablet Product 277,Tablet
381,261,2,1773754926,Headphones Product 261,Headphones
73,475,2,1773755307,Tablet Product 475,Tablet
405,68,2,1773756546,Tablet Product 68,Tablet
266,190,2,1773756886,Headphones Product 190,Headphones
461,56,2,1773757356,Case Product 56,Case
158,210,2,1773757362,Laptop Product 210,Laptop
189,116,2,1773758407,Accessories Product 116,Accessories
43,83,2,1773758907,Tablet Product 83,Tablet
592,138,2,1773760454,Charger Product 138,Charger
800,440,2,1773761351,Tablet Product 440,Tablet
808,207,2,1773761391,Accessories Product 207,Accessories
381,104,2,1773761746,Headphones Product 104,Headphones
116,409,2,1773761880,Headphones Product 409,Headphones
385,153,2,1773762093,Case Product 153,Case
538,108,2,1773762470,Headphones Product 108,Headphones
238,282,2,1773762686,Accessories Product 282,Accessories
294,378,2,1773762787,Phone Product 378,Phone
985,350,2,1773764338,Tablet Product 350,Tablet
7,105,2,1773764775,Accessories Product 105,Accessories
414,376,2,1773765272,Charger Product 376,Charger
244,296,2,1773765361,Accessories Product 296,Accessories
545,117,2,1773765572,Laptop Product 117,Laptop
426,109,2,1773767246,Charger Product 109,Charger
833,50,2,1773767659,Phone Product 50,Phone
847,500,2,1773767851,Charger Product 500,Charger
22,42,2,1773770010,Headphones Product 42,Headphones
534,140,2,1773771042,Accessories Product 140,Accessories
29,139,2,1773771395,Phone Product 139,Phone
397,206,2,1773772016,Charger Product 206,Charger
444,311,2,1773772167,Headphones Product 311,Headphones
458,7,2,1773772358,Case Product 7,Case
288,380,2,1773772437,Case Product 380,Case
784,35,2,1773772836,Headphones Product 35,Headphones
592,161,2,1773773565,Phone Product 161,Phone
899,81,2,1773775166,Phone Product 81,Phone
388,440,2,1773775457,Tablet Product 440,Tablet
240,328,2,1773775683,Accessories Product 328,Accessories
359,346,2,1773776046,Headphones Product 346,Headphones
186,115,2,1773776063,Charger Product 115,Charger
538,76,2,1773776188,Case Product 76,Case
149,242,2,1773777500,Tablet Product 242,Tablet
275,26,2,1773778437,Case Product 26,Case
410,490,2,1773778554,Headphones Product 490,Headphones
93,425,2,1773779365,Case Product 425,Case
40,60,2,1773780594,Laptop Product 60,Laptop
168,187,2,1773782522,Accessories Product 187,Accessories
577,196,2,1773782629,Charger Product 196,Charger
432,286,2,1773783810,Accessories Product 286,Accessories
293,321,2,1773784765,Charger Product 321,Charger
141,36,2,1773787219,Tablet Product 36,Tablet
746,190,2,1773787933,Headphones Product 190,Headphones
205,61,2,1773789100,Headphones Product 61,Headphones
846,324,2,1773789148,Phone Product 324,Phone
368,115,2,1773789900,Charger Product 115,Charger
133,352,2,1773791620,Phone Product 352,Phone
405,377,2,1773793318,Accessories Product 377,Accessories
870,474,2,1773793933,Laptop Product 474,Laptop
211,210,2,1773795954,Laptop Product 210,Laptop
264,163,2,1773796362,Accessories Product 163,Accessories
488,94,2,1773797954,Accessories Product 94,Accessories
422,464,2,1773798120,Laptop Product 464,Laptop
868,53,2,1773799474,Tablet Product 53,Tablet
601,118,2,1773799845,Headphones Product 118,Headphones
258,409,2,1773802408,Headphones Product 409,Headphones
721,161,2,1773802811,Phone Product 161,Phone
108,9,2,1773803257,Headphones Product 9,Headphones
787,152,2,1773803794,Tablet Product 152,Tablet
684,339,2,1773804322,Headphones Product 339,Headphones
429,381,2,1773804405,Phone Product 381,Phone
810,499,2,1773804508,Accessories Product 499,Accessories
49,370,2,1773804560,Accessories Product 370,Accessories
688,242,2,1773805269,Tablet Product 242,Tablet
291,369,2,1773807960,Headphones Product 369,Headphones
97,146,2,1773808327,Accessories Product 146,Accessories
406,195,2,1773808831,Phone Product 195,Phone
198,340,2,1773808911,Accessories Product 340,Accessories
133,36,2,1773809940,Tablet Product 36,Tablet
555,251,2,1773810637,Case Product 251,Case
152,484,2,1773813978,Case Product 484,Case
787,388,2,1773814013,Case Product 388,Case
853,493,2,1773814466,Case Product 493,Case
651,147,2,1773816801,Laptop Product 147,Laptop
789,498,2,1773816966,Headphones Product 498,Headphones
591,22,2,1773817201,Accessories Product 22,Accessories
35,449,2,1773818045,Phone Product 449,Phone
809,88,2,1773818176,Accessories Product 88,Accessories
349,301,2,1773819221,Tablet Product 301,Tablet
465,183,2,1773820212,Headphones Product 183,Headphones
966,15,2,1773820225,Laptop Product 15,Laptop
803,79,2,1773820273,Accessories Product 79,Accessories
744,449,2,1773820365,Phone Product 449,Phone
265,262,2,1773821009,Laptop Product 262,Laptop
665,469,2,1773822448,Tablet Product 469,Tablet
420,308,2,1773822766,Phone Product 308,Phone
351,224,2,1773824914,Tablet Product 224,Tablet
114,131,2,1773825837,Accessories Product 131,Accessories
742,477,2,1773826667,Headphones Product 477,Headphones
826,327,2,1773827640,Tablet Product 327,Tablet
566,269,2,1773827799,Case Product 269,Case
926,253,2,1773829267,Laptop Product 253,Laptop
36,159,2,1773830884,Accessories Product 159,Accessories
10,192,2,1773831913,Accessories Product 192,Accessories
955,163,2,1773832272,Accessories Product 163,Accessories
776,267,2,1773835074,Headphones Product 267,Headphones
54,349,2,1773835128,Charger Product 349,Charger
897,487,2,1773835695,Case Product 487,Case
472,158,2,1773837764,Accessories Product 158,Accessories
231,457,2,1773838320,Case Product 457,Case
842,224,2,1773839613,Tablet Product 224,Tablet
342,469,2,1773840165,Tablet Product 469,Tablet
746,438,2,1773841412,Case Product 438,Case
845,249,2,1773841932,Phone Product 249,Phone
312,296,2,1773842658,Accessories Product 296,Accessories
842,235,2,1773842708,Phone Product 235,Phone
160,198,2,1773843300,Laptop Product 198,Laptop
678,421,2,1773843932,Tablet Product 421,Tablet
215,68,2,1773845853,Tablet Product 68,Tablet
898,198,2,1773846031,Laptop Product 198,Laptop
984,271,2,1773847386,Phone Product 271,Phone
19,72,2,1773848285,Charger Product 72,Charger
890,321,2,1773849428,Charger Product 321,Charger
448,330,2,1773849862,Laptop Product 330,Laptop
683,198,2,1773852707,Laptop Product 198,Laptop
472,128,2,1773853413,Phone Product 128,Phone
350,395,2,1773853620,Case Product 395,Case
767,355,2,1773853844,Accessories Product 355,Accessories
511,19,2,1773853890,Charger Product 19,Charger
871,289,2,1773854043,Case Product 289,Case
881,222,2,1773854689,Case Product 222,Case
515,122,2,1773855165,Laptop Product 122,Laptop
991,426,2,1773855957,Charger Product 426,Charger
620,251,2,1773857330,Case Product 251,Case
673,398,2,1773858047,Accessories Product 398,Accessories
907,186,2,1773858443,Headphones Product 186,Headphones
873,88,2,1773859664,Accessories Product 88,Accessories
609,202,2,1773861750,Charger Product 202,Charger
694,392,2,1773861995,Laptop Product 392,Laptop
975,497,2,1773864309,Charger Product 497,Charger
778,469,2,1773865733,Tablet Product 469,Tablet
29,50,2,1773866609,Phone Product 50,Phone
727,138,2,1773866928,Charger Product 138,Charger
414,423,2,1773868965,Charger Product 423,Charger
659,104,2,1773869298,Headphones Product 104,Headphones
235,80,2,1773869939,Case Product 80,Case
134,413,2,1773869962,Laptop Product 413,Laptop
574,1,2,1773870111,Accessories Product 1,Accessories
968,156,2,1773871076,Charger Product 156,Charger
548,256,2,1773871149,Headphones Product 256,Headphones
456,499,2,1773871807,Accessories Product 499,Accessories
701,185,2,1773872213,Laptop Product 185,Laptop
29,7,2,1773872214,Case Product 7,Case
755,15,2,1773874121,Laptop Product 15,Laptop
930,422,2,1773875992,Charger Product 422,Charger
2,351,2,1773876490,Case Product 351,Case
295,214,2,1773876855,Headphones Product 214,Headphones
643,235,2,1773876960,Phone Product 235,Phone
231,322,2,1773877455,Case Product 322,Case
991,68,2,1773878515,Tablet Product 68,Tablet
401,267,2,1773879057,Headphones Product 267,Headphones
729,419,2,1773881311,Case Product 419,Case
727,198,2,1773882277,Laptop Product 198,Laptop
520,499,2,1773882693,Accessories Product 499,Accessories
833,95,2,1773884298,Charger Product 95,Charger
839,143,2,1773884835,Tablet Product 143,Tablet
243,154,2,1773884938,Phone Product 154,Phone
480,124,2,1773885616,Tablet Product 124,Tablet
396,83,2,1773885663,Tablet Product 83,Tablet
834,494,2,1773886441,Case Product 494,Case
948,73,2,1773888334,Phone Product 73,Phone
126,10,2,1773889040,Accessories Product 10,Accessories
327,257,2,1773889830,Tablet Product 257,Tablet
16,87,2,1773892256,Headphones Product 87,Headphones
144,458,2,1773892345,Tablet Product 458,Tablet
916,439,2,1773892646,Charger Product 439,Charger
515,425,2,1773892926,Case Product 425,Case
614,27,2,1773895544,Case Product 27,Case
156,31,2,1773896445,Phone Product 31,Phone
657,328,2,1773897972,Accessories Product 328,Accessories
627,87,2,1773899432,Headphones Product 87,Headphones
739,221,2,1773899803,Headphones Product 221,Headphones
160,163,2,1773900347,Accessories Product 163,Accessories
581,331,2,1773900918,Phone Product 331,Phone
148,12,2,1773900922,Phone Product 12,Phone
780,311,2,1773902057,Headphones Product 311,Headphones
343,44,2,1773902519,Tablet Product 44,Tablet
229,414,2,1773902594,Accessories Product 414,Accessories
413,40,2,1773903296,Accessories Product 40,Accessories
989,278,2,1773904278,Accessories Product 278,Accessories
786,73,2,1773904526,Phone Product 73,Phone
712,316,2,1773904747,Phone Product 316,Phone
691,35,2,1773904807,Headphones Product 35,Headphones
812,442,2,1773906381,Phone Product 442,Phone
502,117,2,1773906420,Laptop Product 117,Laptop
344,404,2,1773906875,Laptop Product 404,Laptop
27,102,2,1773908407,Charger Product 102,Charger
746,185,2,1773911607,Laptop Product 185,Laptop
344,412,2,1773911712,Case Product 412,Case
555,394,2,1773912603,Phone Product 394,Phone
223,492,2,1773913436,Laptop Product 492,Laptop
424,144,2,1773913902,Case Product 144,Case
614,187,2,1773914074,Accessories Product 187,Accessories
685,96,2,1773914731,Headphones Product 96,Headphones
362,353,2,1773915821,Headphones Product 353,Headphones
261,42,2,1773916162,Headphones Product 42,Headphones
809,275,2,1773916704,Accessories Product 275,Accessories
158,365,2,1773918335,Headphones Product 365,Headphones
786,418,2,1773918825,Tablet Product 418,Tablet
774,358,2,1773919266,Tablet Product 358,Tablet
597,364,2,1773922458,Accessories Product 364,Accessories
617,482,2,1773922555,Phone Product 482,Phone
412,379,2,1773922872,Laptop Product 379,Laptop
189,106,2,1773923625,Charger Product 106,Charger
153,339,2,1773923931,Headphones Product 339,Headphones
41,381,2,1773924222,Phone Product 381,Phone
927,315,2,1773924789,Charger Product 315,Charger
948,283,2,1773925271,Headphones Product 283,Headphones
444,192,2,1773925704,Accessories Product 192,Accessories
406,83,2,1773926199,Tablet Product 83,Tablet
647,39,2,1773926203,Headphones Product 39,Headphones
742,62,2,1773926382,Phone Product 62,Phone
13,109,2,1773926813,Charger Product 109,Charger
924,42,2,1773927108,Headphones Product 42,Headphones
713,377,2,1773929571,Accessories Product 377,Accessories
188,471,2,1773931444,Headphones Product 471,Headphones
46,205,2,1773931579,Tablet Product 205,Tablet
162,49,2,1773931751,Charger Product 49,Charger
577,156,2,1773932138,Charger Product 156,Charger
131,480,2,1773932580,Headphones Product 480,Headphones
110,226,2,1773932847,Phone Product 226,Phone
401,127,2,1773933128,Accessories Product 127,Accessories
399,303,2,1773934043,Laptop Product 303,Laptop
176,454,2,1773934142,Accessories Product 454,Accessories
193,326,2,1773934424,Phone Product 326,Phone
